id,review,sentiment
10430,фільм чудовий красивий,1
6464,чудовий фіьм,1
17150,а французька мова перекладу підлягає,0
11743,бачив стільки сильного фільму варто дивитися безумовно,1
8282,чудовий фільм рекомендую,1
4409,фільм супер інакшу могло такими акторами прикро титрів французських моментах бо запоребриковій версії озвучки присутні,1
17,із фільм хороший цікавий бойовиком назвати важко драма чудовий бред пітт маріон котіяр зіграли неперевершенно враховуючи те із грав подвійну роль герої фільму шпигуни любить триллери кінці фільму виникне питання насправді шпигунка робила своїй волі а от любить драму кінці фільму таки пустите сльозу рекомендую однозначно admin рекомендацію,1
16103,фільм справді крутий раджу,1
10631,оскільки коментар раджу подивитися фільм,1
14150,цікавий фільм рекомендую,1
6680,слабенький фільм,0
6153,улюблений фільм,1
5688,легкий ненапружний приємний жахливик,0
14687,фільм сенсом душею,1
11271,чуттєвий емоційний фільм неможливо дивитися сліз,1
8890,неймовірно зворушливий фільм,1
13414,частина крута посвоєму а кянець шикарний,1
9893,мого погляду фантастика екранізація влада забуває простий народ наслідки усього бувають катастрофічні,0
67,всі частини одному подиху хворіти круті фільми,1
13396,достойне продовження фільму,1
16104,шкода озвучка якiсна би хотiлося справдi прикро режисери зробили принаймнi добру роботу роман набагато яскравiший хвiльм,0
13375,круте продовження книгу читала фільм класний,1
11139,одна найгірших франшиз дивергент втік вівертого скопійованого лайна,0
2468,русский мир голодні ігри,0
2391,забирати дітей батьків народ бунтував одному кажеться найтупіший контроль владою населення всі часи кінематографу франшиза зібрала мільярда прокаті,0
10682,перше недолуга рецензія фільму проблема редакторів сайту а франшизи спойлери а друге капітолій контролює дистрикти іншими методами жорсткішими гра додаток котролю покарання скоєний бунт го дистрикту нагадування необхідність покори інакше іншими станеться те рекомендую уважніше дивитися фільм почитати книжки розуміння сюжету й поповнення словникового запасу українська залишає бажати кращого кінг залишив доволі позитивний відгук книжку а чогось таки варте гарного дня,0
13997,чудовий фільм проте гинули заради єкстриму рекомендую,1
12650,акторський склад мммммм а фільм сильний одному диханні,1
11327,напружений фільм особисто поділяю пристрасті такого екстриму межі смерті,0
2254,сильно нема слів,1
6481,попередня версія краща,0
4100,хай кажуть фільм хороший,1
487,неймовірно нудна цікава історія,0
9747,фільм смішний,0
